# g=1.0
# kappa=1.0
# gamma=0.0
# Omega12=0.2
# rabi_b=1.5
# rabi_l=1.0
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,estado_2,estado_3,N_expect,X_expect,P_expect
0.0,(1+0j),0j,0j,0j,0j,0j,0j
0.015015015015015015,(0.9998821784140577+1.5782685901879648e-26j),(5.890902734990995e-05-8.085074842688835e-24j),(5.8909027349909936e-05+6.195368500109431e-24j),(3.5312423261182533e-09+1.0512944695200745e-27j),(0.0004983682548454864-4.1035524587567027e-25j),(-0.03157099835045672+6.874922789001118e-28j),(1.6099367483890823e-07-3.0894161903089892e-21j)
0.03003003003003003,(0.9995081670271095-7.974112381794272e-24j),(0.00024588615842407633+1.8626888592374337e-23j),(0.0002458861584240763+2.2640121382611996e-23j),(6.065604200927498e-08+5.4902202563572515e-27j),(0.0019577635323596103-4.0848878851502766e-24j),(-0.06257410101306181+2.176048447027408e-22j),(1.299871888666279e-06-2.7102365975146814e-20j)
0.04504504504504504,(0.9988469043973972+1.5390323814698979e-22j),(0.000576381284573991+8.085199619158472e-23j),(0.0005763812845739912-1.5446119947240636e-22j),(3.33033454641308e-07+9.252061336605453e-27j),(0.004324483370610491+2.092311156981162e-23j),(-0.09299976710862198-4.004012587605896e-22j),(4.424824427059139e-06-8.147129327703222e-20j)
0.06006006006006006,(0.9978671238041528+5.587851727217889e-22j),(0.0010658680173356017+1.2086957600274181e-22j),(0.0010658680173356017-7.705561063803522e-22j),(1.140161175900767e-06+9.782418921093584e-27j),(0.0075447041161483906+1.503467760336406e-22j),(-0.12283890315134843-7.235903772181825e-22j),(1.0574887980648324e-05-5.186257004584973e-20j)
0.07507507507507508,(0.9965375373005814+1.2201080967919048e-21j),(0.001729726943477917+6.555487287977736e-23j),(0.0017297269434779167-1.3915340498601444e-21j),(3.0088124626329085e-06-2.9681876968572667e-25j),(0.011564612605038877+4.375890876146092e-22j),(-0.1520828870533816-1.4307849684080557e-21j),(2.0816736650381867e-05-8.967258225534235e-20j)
0.09009009009009009,(0.9948270112738915+2.2858007348984933e-21j),(0.0025831319928288758-5.48306383512608e-22j),(0.0025831319928288758-2.8606329683883202e-21j),(6.724740450793843e-06-1.0297108279586166e-24j),(0.016330524938721842+1.0255708189271796e-21j),(-0.18072359262468649+4.422443596832336e-22j),(3.6241669127447604e-05+1.6940658945086007e-21j)
0.10510510510510511,(0.9927047845094447+4.2369194741894596e-21j),(0.003640908211508307-1.41900584588662e-21j),(0.003640908211508307-4.699435116575477e-21j),(1.3399067538542282e-05-2.2622090238646897e-24j),(0.021789029615878655+1.838793567936405e-21j),(-0.20875341829084762-3.064684782463361e-21j),(5.796164498237771e-05-7.253588150508127e-20j)
0.12012012012012012,(0.9901406512560156+4.1891460555235566e-21j),(0.0049174104013893025-6.552986733452525e-22j),(0.0049174104013893025-6.519959642159642e-21j),(2.4527941205672615e-05-5.8060677453155474e-24j),(0.02788710178202342+2.177299776900903e-21j),(-0.23616531098891885+8.052086275320879e-23j),(8.71057598198239e-05-2.0051810960351052e-17j)
0.13513513513513514,(0.987105180899908+4.755260690044991e-21j),(0.006426377227567182+1.9989647025102506e-21j),(0.006426377227567182-1.0127787595560937e-20j),(4.206464495756944e-05-1.098068839239977e-23j),(0.034572239492192305+2.8871867303768044e-21j),(-0.26295279465724847-8.492301457563943e-22j),(0.0001248159286002535-1.9605424597148036e-17j)
0.15015015015015015,(0.983569933611555+9.145527537694587e-21j),(0.008180786625464976-1.5090385213337915e-21j),(0.008180786625464976-1.347944161107893e-20j),(6.849313751482572e-05-2.0725583480690472e-23j),(0.0417925931164162+3.64302530394672e-21j),(-0.2891099977493834-2.9341052754839156e-20j),(0.00017224240966907465-1.8458541986565713e-17j)
0.16516516516516516,(0.9795076810505565+1.4231765893094496e-20j),(0.010192707131035735-7.198126318849765e-21j),(0.010192707131035735-1.630876925984273e-20j),(0.00010690468737206124-3.779611779860558e-23j),(0.049497095326719635+5.248005816921651e-21j),(-0.3146316811133097-1.442861482233903e-20j),(0.00023053903425284173-1.761320310520592e-17j)
0.18018018018018017,(0.9748926302179692+1.9083842393665175e-20j),(0.012473146525238716-2.080694051955638e-20j),(0.012473146525238715-1.1883832673917307e-20j),(0.00016107673155329815-5.209536565793154e-23j),(0.05763559080215631+6.7671176601558884e-21j),(-0.33951326589942166-3.4704362599662276e-21j),(0.00030085813465345997-1.889730505324344e-17j)
0.19519519519519518,(0.9697006482255642+2.2413988592322542e-20j),(0.015031899627536071-4.134387820398036e-20j),(0.01503189962753607-1.6336648709016925e-22j),(0.00023555251936362184-7.055565898353097e-23j),(0.06615896505224589+6.507854537097063e-21j),(-0.3637508613063245-6.414268662465884e-21j),(0.00038434521113463643-1.7199851026945823e-17j)
0.21021021021021022,(0.9639094879328656+2.1577782386587017e-20j),(0.017877395227821516-4.571934806519921e-20j),(0.017877395227821516+9.899938723803454e-22j),(0.00033572161149121783-1.3096744379685115e-22j),(0.07501927184493208+6.4633623777497135e-21j),(-0.38734129204276546-6.2280496270648836e-21j),(0.00048213322991091343-1.8190879575233354e-17j)
0.22522522522522523,(0.9574990078231156+3.101944243726449e-20j),(0.021016547692662754-5.1900178313583694e-20j),(0.02101654769266275-4.139481358865949e-21j),(0.00046789679155865503-2.0340448662308845e-22j),(0.0841698585785628+1.4593104243366235e-20j),(-0.4102821250213945-1.4256251062198294e-20j),(0.0005953368567461444-3.824184350263715e-17j)
0.24024024024024024,(0.950451389897935+4.52901675752316e-20j),(0.024454610095041397-8.214468632806893e-20j),(0.024454610095041393+1.1323030300271455e-20j),(0.000639389911982025-2.8886060856530634e-22j),(0.09356548933458238+2.1274403104887098e-20j),(-0.4325716954955962-1.852760495026899e-20j),(0.0007250463139226389-7.636340832676419e-17j)
0.2552552552552553,(0.9427513488888897+5.611150639193655e-20j),(0.028195034452857884-1.2223691005920269e-19j),(0.028195034452857877+4.558319339711659e-20j),(0.0008585822053943405-4.2086284559748237e-22j),(0.10316246465929577+2.3106394229043168e-20j),(-0.45420913209773034-2.234297552566983e-20j),(0.0008723211066992533-7.69749661146818e-17j)
0.2702702702702703,(0.9343863319649081+6.871930761298368e-20j),(0.032239339770504624-1.1960639426603576e-19j),(0.03223933977050462+4.793640735153312e-20j),(0.0011349884940825292-6.238527967449955e-22j),(0.1129187376268223+3.6749914843425476e-20j),(-0.47519438068621084-1.3377288943299447e-19j),(0.0010381835790452458-3.729655473350135e-17j)
0.2852852852852853,(0.9253467066997756+7.112980720231518e-20j),(0.03658698975911133-1.4998937551615085e-19j),(0.03658698975911132+8.51818341394888e-20j),(0.0014793137820018247-7.880302314959916e-22j),(0.12279402566675611+3.5537489068681775e-20j),(-0.49552822681163816-1.3711759423985263e-19j),(0.001223612340753437-4.064402894105035e-17j)
