# g=1.0
# kappa=1.0
# gamma=0.0
# rabi_b=1.5
# rabi_l=1.0
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.0,(1+0j),0j,0j,0j,0j
0.015015015015015015,(0.9999410830627063+0j),(5.8916937293657296e-05+0j),(0.0005009183102025522+0j),(-0.03165169363774707+0j),-4.546932112606145e-23j
0.03003003003003003,(0.999753980314013+0j),(0.00024601968598690074+0j),(0.00197825557189981+0j),(-0.06290074786681182+0j),-4.1650104629292163e-22j
0.04504504504504504,(0.9994229060351976+0j),(0.0005770939648023659+0j),(0.004393899601903767+0j),(-0.09374322236355513+0j),-3.430549170321811e-21j
0.06006006006006006,(0.9989317571061482+0j),(0.0010682428938517121+0j),(0.007709763546722692+0j),(-0.12417535470241431+0j),-1.7066029320442618e-19j
0.07507507507507508,(0.9982641655507358+0j),(0.001735834449264136+0j),(0.011887834945535861+0j),(-0.15419357164456213+0j),-2.5722475303452245e-20j
0.09009009009009009,(0.997403545219849+0j),(0.002596454780150858+0j),(0.016890218844945657+0j),(-0.18379450098465813+0j),-1.4492417801902202e-20j
0.10510510510510511,(0.9963331506912119+0j),(0.003666849308788044+0j),(0.02267919026221647+0j),(-0.21297498559445568+0j),-7.483466951022215e-19j
0.12012012012012012,(0.9950361297461526+0j),(0.00496387025384719+0j),(0.029217240287450368+0j),(-0.24173209625224182+0j),-1.6908298908419283e-18j
0.13513513513513514,(0.9934955809280983+0j),(0.006504419071901381+0j),(0.036467126278872046+0j),(-0.2700631457321824+0j),-7.520186143680657e-18j
0.15015015015015015,(0.9916946148964617+0j),(0.008305385103538142+0j),(0.04439192492874252+0j),(-0.29796570380796317+0j),1.0993450882617252e-17j
0.16516516516516516,(0.9896164168818138+0j),(0.010383583118185838+0j),(0.052955085734172846+0j),(-0.325437612516528+0j),-1.153085218178767e-17j
0.18018018018018017,(0.9872443113976936+0j),(0.012755688602306343+0j),(0.06212048598399781+0j),(-0.35247700191107645+0j),-7.193539199271404e-18j
0.19519519519519518,(0.9845618291023206+0j),(0.015438170897679116+0j),(0.07185248724938255+0j),(-0.3790823061930627+0j),-4.633556333563407e-18j
0.21021021021021022,(0.9815527758025534+0j),(0.01844722419744641+0j),(0.08211599330386696+0j),(-0.40525228019586+0j),-1.2665089897207455e-18j
