# g=1.0
# kappa=1.0
# gamma=0.5
# rabi_b=1.5
# rabi_l=1.0
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.0,(1+0j),0j,0j,0j,0j
0.015015015015015015,(0.9999413021375816+0j),(5.8697862418271214e-05+0j),(0.0005009215823785477+0j),(-0.03165179416664998+0j),3.643351655811322e-23j
0.03003003003003003,(0.9997557931232907+0j),(0.00024420687670893994+0j),(0.0019783066943716413+0j),(-0.06290155884580712+0j),1.490864346254854e-22j
0.04504504504504504,(0.9994292278842939+0j),(0.0005707721157059419+0j),(0.004394158237735739+0j),(-0.093745980692503+0j),-4.659339758149237e-22j
0.06006006006006006,(0.9989472265816327+0j),(0.001052773418367064+0j),(0.007710581552881922+0j),(-0.12418194169547597+0j),5.7340077950200885e-21j
0.07507507507507508,(0.9982953262952518+0j),(0.0017046737047478402+0j),(0.011889832876446625+0j),(-0.15420652858025868+0j),-1.793468428520601e-19j
0.09009009009009009,(0.9974590274610087+0j),(0.002540972538990913+0j),(0.016894362041897853+0j),(-0.18381704296564172+0j),-2.806792942676486e-17j
0.10510510510510511,(0.9964238504987736+0j),(0.003576149501226188+0j),(0.022686863372040903+0j),(-0.21301101305839762+0j),-1.5008560582073283e-17j
0.12012012012012012,(0.9951753854744472+0j),(0.00482461452555281+0j),(0.02923032012656455+0j),(-0.24178620431230147+0j),-2.8804627861261896e-17j
0.13513513513513514,(0.9936993454877145+0j),(0.006300654512285235+0j),(0.036488052179536566+0j),(-0.2701406309708371+0j),-3.65531363887676e-17j
0.15015015015015015,(0.991981622823911+0j),(0.008018377176088711+0j),(0.044423766075451294+0j),(-0.2980725682693486+0j),1.1465856230053615e-17j
0.16516516516516516,(0.9900083449332929+0j),(0.009991655066706918+0j),(0.05300160479981717+0j),(-0.3255805646917504+0j),-4.036286451898162e-17j
0.18018018018018017,(0.9877659314693665+0j),(0.01223406853063294+0j),(0.062186198423500295+0j),(-0.35266345448488723+0j),1.0292948199472968e-17j
0.19519519519519518,(0.985241152246761+0j),(0.014758847753238578+0j),(0.07194271558007968+0j),(-0.37932037031598864+0j),9.352991026928094e-18j
0.21021021021021022,(0.9824211859667118+0j),(0.017578814033287888+0j),(0.0822369156261679+0j),(-0.40555075603399554+0j),-3.56944561976113e-17j
0.22522522522522523,(0.979293679739419+0j),(0.02070632026058051+0j),(0.09303520154473445+0j),(-0.4313543795041133+0j),-1.6373100248535634e-17j
0.24024024024024024,(0.9758468084800671+0j),(0.024153191519932612+0j),(0.1043046728751246+0j),(-0.45673134521813613+0j),-1.5564601914985e-17j
0.2552552552552553,(0.9720693350705422+0j),(0.02793066492945777+0j),(0.11601317937273956+0j),(-0.4816821069229167+0j),-8.659750216020604e-17j
0.2702702702702703,(0.9679506703546477+0j),(0.032049329645352086+0j),(0.12812937468152982+0j),(-0.5062074799642101+0j),-6.772133057840199e-17j
0.2852852852852853,(0.963480932938334+0j),(0.03651906706166549+0j),(0.14062277000413465+0j),(-0.5303086533114721+0j),-7.330152637848621e-17j
0.3003003003003003,(0.9586510086084903+0j),(0.04134899139150936+0j),(0.15346378762721538+0j),(-0.5539872011937893+0j),-9.118891618578606e-17j
0.3153153153153153,(0.9534526090661862+0j),(0.046547390933813465+0j),(0.16662381404111098+0j),(-0.5772450942553757+0j),-1.2268284396313238e-16j
0.3303303303303303,(0.9478783296906396+0j),(0.05212167030936009+0j),(0.18007525244235287+0j),(-0.6000847101181702+0j),-1.0845922643796177e-16j
0.34534534534534533,(0.941921706264199+0j),(0.05807829373580051+0j),(0.19379157455341636+0j),(-0.6225088433379419+0j),-4.301068604146402e-17j
0.36036036036036034,(0.9355772699002228+0j),(0.06442273009977681+0j),(0.2077473711377617+0j),(-0.6445207145066401+0j),-8.693804483358174e-17j
0.37537537537537535,(0.9288406005103336+0j),(0.07115939948966622+0j),(0.22191840148666475+0j),(-0.66612397861072+0j),-2.3870413024867934e-17j
