# g=0.0
# kappa=1.0
# gamma=0.0
# rabi_b=1.5
# rabi_l=None
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=None
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.0,(1+0j),0j,0j,0j,0j
0.015015015015015015,(1+0j),0j,(0.0005034749865912613+0j),(-0.03173239198296348+0j),-8.383465514999858e-43j
0.03003003003003003,(0.9999999999999999+0j),0j,(0.001998857679301385+0j),(-0.06322744501357655+0j),9.594545600021628e-21j
0.04504504504504504,(0.9999999999999999+0j),0j,(0.004463892768072044+0j),(-0.09448693406979489+0j),-2.7334562561115556e-26j
0.06006006006006006,(1+0j),0j,(0.00787671137606064+0j),(-0.1255126210005219+0j),1.3878879640580247e-17j
0.07507507507507508,(1+0j),0j,(0.012215824832722957+0j),(-0.15630625451625904+0j),-1.5344596645969364e-21j
0.09009009009009009,(1+0j),0j,(0.017460120262195195+0j),(-0.18686957023501996+0j),2.7740678496117252e-17j
0.10510510510510511,(0.9999999999999998+0j),0j,(0.023588854235840118+0j),(-0.21720429079113673+0j),4.149672949034497e-17j
0.12012012012012012,(0.9999999999999999+0j),0j,(0.03058164608001104+0j),(-0.24731212594491245+0j),4.027172030245342e-17j
0.13513513513513514,(1+0j),0j,(0.03841847322895809+0j),(-0.2771947726601839+0j),4.537035030709635e-17j
0.15015015015015015,(1+0j),0j,(0.047079664845712674+0j),(-0.3068539152103057+0j),2.1970932194015863e-17j
0.16516516516516516,(1+0j),0j,(0.056545896276389986+0j),(-0.3362912252715178+0j),3.889726899575915e-17j
0.18018018018018017,(1+0j),0j,(0.0667981835053964+0j),(-0.365508362016979+0j),6.483884830270335e-17j
0.19519519519519518,(1+0j),0j,(0.0778178776873391+0j),(-0.39450697221024894+0j),2.8813982084440294e-17j
0.21021021021021022,(0.9999999999999999+0j),0j,(0.08958665976387858+0j),(-0.4232886902980788+0j),5.844835289534851e-17j
0.22522522522522523,(0.9999999999999999+0j),0j,(0.10208653515032046+0j),(-0.4518551385026224+0j),2.5490790227493216e-17j
0.24024024024024024,(1.0000000000000002+0j),0j,(0.11529982855642709+0j),(-0.4802079269125322+0j),6.579504294814183e-17j
0.2552552552552553,(1.0000000000000004+0j),0j,(0.12920917878454533+0j),(-0.5083486535742076+0j),5.678260776914323e-17j
0.2702702702702703,(1.0000000000000002+0j),0j,(0.14379753370861598+0j),(-0.5362789045815459+0j),1.997555573342013e-17j
0.2852852852852853,(1.0000000000000002+0j),0j,(0.1590481452789972+0j),(-0.5640002541654462+0j),7.667966766606466e-17j
0.3003003003003003,(1.0000000000000002+0j),0j,(0.17494456462126717+0j),(-0.5915142647824996+0j),6.713614948461897e-17j
0.3153153153153153,(1.0000000000000002+0j),0j,(0.1914706372061822+0j),(-0.6188224872030622+0j),1.0177438603785708e-16j
0.3303303303303303,(1.0000000000000002+0j),0j,(0.2086104980948011+0j),(-0.645926460598664+0j),9.130596380825469e-17j
0.34534534534534533,(1.0000000000000004+0j),0j,(0.2263485672569448+0j),(-0.6728277126287607+0j),1.0582192048707754e-16j
0.36036036036036034,(1.0000000000000004+0j),0j,(0.24466954496271395+0j),(-0.6995277595268398+0j),1.2423214810543502e-16j
0.37537537537537535,(1.0000000000000002+0j),0j,(0.26355840724694096+0j),(-0.7260281061858711+0j),1.4706723476403735e-16j
0.39039039039039036,(1.0000000000000002+0j),0j,(0.28300040144012656+0j),(-0.7523302462431373+0j),1.1575437955449596e-16j
0.40540540540540543,(1+0j),0j,(0.3029810417723049+0j),(-0.7784356621644137+0j),8.877990470203489e-17j
0.42042042042042044,(1.0000000000000002+0j),0j,(0.3234861050421904+0j),(-0.8043458253275297+0j),8.797428131589132e-17j
0.43543543543543545,(1+0j),0j,(0.3445016263573209+0j),(-0.8300621961052904+0j),4.2198338210852667e-17j
0.45045045045045046,(1.0000000000000002+0j),0j,(0.3660138949347857+0j),(-0.8555862239478011+0j),5.58740735386136e-17j
0.46546546546546547,(1+0j),0j,(0.3880094499737908+0j),(-0.8809193474641462+0j),4.343517895440613e-17j
0.4804804804804805,(1.0000000000000002+0j),0j,(0.4104750765849243+0j),(-0.9060629945034924+0j),1.1867198948360894e-16j
0.4954954954954955,(1.0000000000000004+0j),0j,(0.43339780179062676+0j),(-0.9310185822355456+0j),7.335742723460189e-17j
0.5105105105105106,(1+0j),0j,(0.45676489057934966+0j),(-0.9557875172304477+0j),6.811639150552623e-17j
0.5255255255255256,(1+0j),0j,(0.4805638420297135+0j),(-0.9803711955380349+0j),9.172584076955156e-17j
0.5405405405405406,(0.9999999999999999+0j),0j,(0.5047823854862755+0j),(-1.0047710027665424+0j),7.825295859817312e-17j
0.5555555555555556,(1.0000000000000002+0j),0j,(0.5294084768031166+0j),(-1.0289883141606835+0j),4.873923574538172e-17j
0.5705705705705706,(1.0000000000000002+0j),0j,(0.5544302946381027+0j),(-1.053024494679178+0j),9.497375926923238e-17j
0.5855855855855856,(1.0000000000000002+0j),0j,(0.5798362368117046+0j),(-1.0768808990716725+0j),5.4064092068834526e-17j
