# g=1.0
# kappa=1.0
# gamma=0.0
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.0,(1+0j),0j,0j,0j,0j
0.015015015015015015,(0.9998732002963089+0j),(0.00012679970369100033+0j),(7.790996315516415e-09+0j),(0.00011925704188344677+0j),3.569976930657305e-29j
0.03003003003003003,(0.9994929772249043+0j),(0.000507022775095387+0j),(1.1487110152179184e-07+0j),(0.00047575183852090273+0j),2.284785235946438e-27j
0.04504504504504504,(0.9988598631478921+0j),(0.0011401368521075854+0j),(5.727180344631834e-07+0j),(0.0010674472791396524+0j),-5.303095060515926e-23j
0.06006006006006006,(0.9979747397380322+0j),(0.002025260261967486+0j),(1.7939875201275017e-06+0j),(0.001892152210552629+0j),-1.0595223153967513e-22j
0.07507507507507508,(0.9968388389979259+0j),(0.003161161002073866+0j),(4.350100884804972e-06+0j),(0.002947517695682943+0j),-4.235164736698485e-22j
0.09009009009009009,(0.9954537451400415+0j),(0.004546254859958271+0j),(8.968532620852658e-06+0j),(0.004231037869506861+0j),-4.235164736271502e-22j
0.10510510510510511,(0.9938213713958133+0j),(0.006178628604186275+0j),(1.651899298391298e-05+0j),(0.005740060916908862+0j),-1.689386651612688e-21j
0.12012012012012012,(0.9919439676413065+0j),(0.008056032358692948+0j),(2.8013974779867722e-05+0j),(0.0074717861652026955+0j),-5.4653886717904266e-30j
0.13513513513513514,(0.989824112111849+0j),(0.01017588788815077+0j),(4.4601751248504054e-05+0j),(0.009423268356814727+0j),-6.729471307571548e-21j
0.15015015015015015,(0.9874647028051237+0j),(0.01253529719487574+0j),(6.755870584581645e-05+0j),(0.011591422136139905+0j),-6.720112696075783e-21j
0.16516516516516516,(0.9848689573051758+0j),(0.015131042694823823+0j),(9.828900007785268e-05+0j),(0.013973022176202653+0j),-6.776263228249528e-21j
0.18018018018018017,(0.9820404031116724+0j),(0.017959596888327257+0j),(0.00013831622583086647+0j),(0.01656470816942419+0j),-2.0403658926499576e-20j
0.19519519519519518,(0.978982861357085+0j),(0.02101713864291461+0j),(0.0001892699816036059+0j),(0.019362993106745906+0j),-2.9947137044597114e-22j
0.21021021021021022,(0.9757004455344702+0j),(0.024299554465529345+0j),(0.00025288311753188263+0j),(0.022364264257734977+0j),1.37022628412918e-20j
0.22522522522522523,(0.9721975543337342+0j),(0.02780244566626533+0j),(0.0003309905308042285+0j),(0.025564785911371773+0j),9.856819783363951e-39j
0.24024024024024024,(0.9684788616458785+0j),(0.031521138354121195+0j),(0.0004255191268649837+0j),(0.028960704806405405+0j),-5.98942740891931e-22j
0.2552552552552553,(0.9645493061238776+0j),(0.03545069387612209+0j),(0.0005384796184022708+0j),(0.0325480553827764+0j),-2.770400824614542e-20j
0.2702702702702703,(0.9604140803366912+0j),(0.039585919663308475+0j),(0.0006719609982971535+0j),(0.0363227646850075+0j),-2.830296218015335e-20j
0.2852852852852853,(0.956078624363653+0j),(0.043921375636346606+0j),(0.0008281237605827993+0j),(0.04028065588464886+0j),-4.814813590859977e-34j
0.3003003003003003,(0.9515486114928656+0j),(0.04845138850713408+0j),(0.0010091925444869366+0j),(0.044417454817396285+0j),2.395815736031964e-21j
0.3153153153153153,(0.9468299398740964+0j),(0.05317006012590334+0j),(0.0012174495950183746+0j),(0.04872879415976283+0j),4.4772464004353455e-26j
0.3303303303303303,(0.9419287220758412+0j),(0.058071277924158386+0j),(0.0014552279131804335+0j),(0.05321021844807126+0j),1.0602462537483405e-19j
0.34534534534534533,(0.9368512710744136+0j),(0.06314872892558594+0j),(0.001724903877291079+0j),(0.0578571905294972+0j),1.0362903350112227e-19j
0.36036036036036034,(0.9316040925672013+0j),(0.06839590743279834+0j),(0.002028890778238678+0j),(0.06266509547623186+0j),4.792079196703536e-21j
0.37537537537537535,(0.9261938703028665+0j),(0.07380612969713311+0j),(0.002369631981619638+0j),(0.06762924726517078+0j),-6.8304736866586656e-18j
0.39039039039039036,(0.9206274561752158+0j),(0.07937254382478391+0j),(0.002749593951533337+0j),(0.07274489359304105+0j),3.687029731486745e-32j
