# g=1.0
# kappa=1.0
# gamma=0.5
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.0,(1+0j),0j,0j,0j,0j
0.015015015015015015,(0.9998736746470255+0j),(0.00012632535297433045+0j),(7.790840375060472e-09+0j),(0.00011910804350058758+0j),-1.2407709188295415e-24j
0.03003003003003003,(0.9994967642576907+0j),(0.0005032357423091984+0j),(1.143277997914367e-07+0j),(0.00047456333933374513+0j),-1.3234889800848443e-23j
0.04504504504504504,(0.9988726148053493+0j),(0.0011273851946506967+0j),(5.685264280903624e-07+0j),(0.001063447432181466+0j),1.3225750659904658e-22j
0.06006006006006006,(0.998004877142961+0j),(0.0019951228570388854+0j),(1.7760761647783402e-06+0j),(0.0018827045511160098+0j),1.0580600529524913e-22j
0.07507507507507508,(0.9968975100647217+0j),(0.003102489935278299+0j),(4.2958261305106695e-06+0j),(0.0029291362966212225+0j),-2.2420775429197073e-44j
0.09009009009009009,(0.9955547711052565+0j),(0.004445228894743564+0j),(8.834272248621076e-06+0j),(0.004199406314968819+0j),-4.270259040911507e-22j
0.10510510510510511,(0.9939811911533721+0j),(0.006018808846627975+0j),(1.6231188614623612e-05+0j),(0.005690051532273755+0j),-1.7010847561197754e-21j
0.12012012012012012,(0.992181572428563+0j),(0.007818427571437091+0j),(2.745719584046205e-05+0j),(0.007397482678818609+0j),-5.082197705387356e-21j
0.13513513513513514,(0.990160976225783+0j),(0.009839023774217132+0j),(4.3606099044593974e-05+0j),(0.009317989490223957+0j),-1.0164395476359377e-20j
0.15015015015015015,(0.987924707161857+0j),(0.012075292838142999+0j),(6.588527095638601e-05+0j),(0.011447747441896852+0j),-1.3552527287238134e-20j
0.16516516516516516,(0.9854783097949961+0j),(0.014521690205003957+0j),(9.561354420845152e-05+0j),(0.0137828191836354+0j),-1.358996116482077e-20j
0.18018018018018017,(0.9828275580142551+0j),(0.017172441985744847+0j),(0.0001342147239774963+0j),(0.016319159070093233+0j),-1.3552526106714181e-20j
0.19519519519519518,(0.979978425007774+0j),(0.02002157499222606+0j),(0.00018319980274364715+0j),(0.019052626099432927+0j),7.486784261149288e-23j
0.21021021021021022,(0.9769370764602205+0j),(0.023062923539779363+0j),(0.00024416214009404983+0j),(0.021978986681707106+0j),-1.734274268921138e-18j
0.22522522522522523,(0.9737098670895117+0j),(0.0262901329104883+0j),(0.00031877679133517957+0j),(0.025093916422924932+0j),5.98942740891943e-22j
0.24024024024024024,(0.9703033280602773+0j),(0.02969667193972263+0j),(0.00040879321177191724+0j),(0.0283930055830838+0j),5.98942740891937e-22j
0.2552552552552553,(0.9667241448171063+0j),(0.03327585518289361+0j),(0.0005160213462465848+0j),(0.03187176847103584+0j),2.39578775324164e-21j
0.2702702702702703,(0.9629791488931629+0j),(0.037020851106836936+0j),(0.0006423284385211144+0j),(0.03552564736722033+0j),2.3957821566836757e-21j
